Time [µs]	v1J2, First, 10.12.	v1J2, First, 10.12.
	25k shots	25k shots
Laser Power [mJ]		power corrected
12.54	14	6.23031859188783E-4
12.56	17	7.56538686157808E-4
12.58	22	9.79050064439517E-4
12.6	21	9.34547788783175E-4
12.62	17	7.56538686157808E-4
12.64	8	3.56018205250733E-4
12.66	7	3.11515929594392E-4
12.68	2	8.90045513126833E-5
12.7	4	1.78009102625367E-4
12.72	5	2.22511378281708E-4
12.74	8	3.56018205250733E-4
12.76	13	5.78529583532442E-4
12.78	17	7.56538686157808E-4
12.8	2	8.90045513126833E-5
12.82	12	5.340273078761E-4
12.84	14	6.23031859188783E-4
12.86	13	5.78529583532442E-4
12.88	9	4.00520480907075E-4
12.9	5	2.22511378281708E-4
12.92	18	8.0104096181415E-4
12.94	13	5.78529583532442E-4
12.96	7	3.11515929594392E-4
12.98	1	4.45022756563417E-5
13	-1	-4.45022756563417E-5
13.02	-1	-4.45022756563417E-5
13.04	18	8.0104096181415E-4
13.06	17	7.56538686157808E-4
13.08	6	2.6701365393805E-4
13.1	2	8.90045513126833E-5
13.12	7	3.11515929594392E-4
13.14	10	4.45022756563417E-4
13.16	19	8.45543237470492E-4
13.18	22	9.79050064439517E-4
13.2	12	5.340273078761E-4
13.22	5	2.22511378281708E-4
13.24	5	2.22511378281708E-4
13.26	3	1.33506826969025E-4
13.28	8	3.56018205250733E-4
13.3	9	4.00520480907075E-4
13.32	-3	-1.33506826969025E-4
13.34	2	8.90045513126833E-5
13.36	-4	-1.78009102625367E-4
13.38	-1	-4.45022756563417E-5
13.4	4	1.78009102625367E-4
13.42	11	4.89525032219758E-4
13.44	7	3.11515929594392E-4
13.46	3	1.33506826969025E-4
13.48	10	4.45022756563417E-4
13.5	10	4.45022756563417E-4
13.52	1	4.45022756563417E-5
13.54	6	2.6701365393805E-4
13.56	6	2.6701365393805E-4
13.58	2	8.90045513126833E-5
13.6	0	0
13.62	3	1.33506826969025E-4
13.64	7	3.11515929594392E-4
13.66	16	7.12036410501467E-4
13.68	6	2.6701365393805E-4
13.7	3	1.33506826969025E-4
13.72	6	2.6701365393805E-4
13.74	9	4.00520480907075E-4
13.76	3	1.33506826969025E-4
13.78	8	3.56018205250733E-4
13.8	3	1.33506826969025E-4
13.82	3	1.33506826969025E-4
13.84	7	3.11515929594392E-4
13.86	-1	-4.45022756563417E-5
13.88	3	1.33506826969025E-4
13.9	1	4.45022756563417E-5
13.92	9	4.00520480907075E-4
13.94	15	6.67534134845125E-4
13.96	14	6.23031859188783E-4
13.98	10	4.45022756563417E-4
14	3	1.33506826969025E-4
14.02	2	8.90045513126833E-5
14.04	4	1.78009102625367E-4
14.06	15	6.67534134845125E-4
14.08	2	8.90045513126833E-5
14.1	3	1.33506826969025E-4
14.12	13	5.78529583532442E-4
14.14	5	2.22511378281708E-4
14.16	10	4.45022756563417E-4
14.18	6	2.6701365393805E-4
14.2	10	4.45022756563417E-4
14.22	-1	-4.45022756563417E-5
14.24	2	8.90045513126833E-5
14.26	0	0
14.28	5	2.22511378281708E-4
14.3	11	4.89525032219758E-4
14.32	-1	-4.45022756563417E-5
14.34	-5	-2.22511378281708E-4
14.36	12	5.340273078761E-4
14.38	12	5.340273078761E-4
14.4	11	4.89525032219758E-4
14.42	8	3.56018205250733E-4
14.44	14	6.23031859188783E-4
14.46	6	2.6701365393805E-4
14.48	-11	-4.89525032219758E-4
14.5	6	2.6701365393805E-4
14.52	11	4.89525032219758E-4
14.54	9	4.00520480907075E-4
14.56	8	3.56018205250733E-4
14.58	6	2.6701365393805E-4
14.6	3	1.33506826969025E-4
14.62	6	2.6701365393805E-4
14.64	6	2.6701365393805E-4
14.66	9	4.00520480907075E-4
14.68	8	3.56018205250733E-4
14.7	4	1.78009102625367E-4
14.72	6	2.6701365393805E-4
14.74	-3	-1.33506826969025E-4
14.76	-1	-4.45022756563417E-5
14.78	3	1.33506826969025E-4
14.8	5	2.22511378281708E-4
14.82	7	3.11515929594392E-4
14.84	3	1.33506826969025E-4
14.86	12	5.340273078761E-4
14.88	2	8.90045513126833E-5
14.9	6	2.6701365393805E-4
14.92	17	7.56538686157808E-4
14.94	14	6.23031859188783E-4
14.96	13	5.78529583532442E-4
14.98	6	2.6701365393805E-4
15	1	4.45022756563417E-5
15.02	4	1.78009102625367E-4
15.04	6	2.6701365393805E-4
15.06	4	1.78009102625367E-4
15.08	-6	-2.6701365393805E-4
15.1	2	8.90045513126833E-5
15.12	3	1.33506826969025E-4
15.14	-3	-1.33506826969025E-4
15.16	9	4.00520480907075E-4
15.18	6	2.6701365393805E-4
15.2	8	3.56018205250733E-4
15.22	0	0
15.24	6	2.6701365393805E-4
15.26	1	4.45022756563417E-5
15.28	2	8.90045513126833E-5
15.3	-3	-1.33506826969025E-4
15.32	5	2.22511378281708E-4
15.34	6	2.6701365393805E-4
15.36	6	2.6701365393805E-4
15.38	9	4.00520480907075E-4
15.4	10	4.45022756563417E-4
15.42	6	2.6701365393805E-4
15.44	0	0
15.46	1	4.45022756563417E-5
15.48	3	1.33506826969025E-4
15.5	7	3.11515929594392E-4
15.52	2	8.90045513126833E-5
15.54	6	2.6701365393805E-4
15.56	8	3.56018205250733E-4
15.58	2	8.90045513126833E-5
15.6	5	2.22511378281708E-4
15.62	13	5.78529583532442E-4
15.64	9	4.00520480907075E-4
15.66	1	4.45022756563417E-5
15.68	-9	-4.00520480907075E-4
15.7	10	4.45022756563417E-4
15.72	21	9.34547788783175E-4
15.74	8	3.56018205250733E-4
15.76	6	2.6701365393805E-4
15.78	13	5.78529583532442E-4
15.8	7	3.11515929594392E-4
15.82	3	1.33506826969025E-4
15.84	-1	-4.45022756563417E-5
15.86	5	2.22511378281708E-4
15.88	12	5.340273078761E-4
15.9	3	1.33506826969025E-4
15.92	7	3.11515929594392E-4
15.94	3	1.33506826969025E-4
15.96	5	2.22511378281708E-4
15.98	10	4.45022756563417E-4
16	12	5.340273078761E-4
16.02	-9	-4.00520480907075E-4
16.04	-2	-8.90045513126833E-5
16.06	6	2.6701365393805E-4
16.08	1	4.45022756563417E-5
16.1	0	0
16.12	2	8.90045513126833E-5
16.14	9	4.00520480907075E-4
16.16	8	3.56018205250733E-4
16.18	9	4.00520480907075E-4
16.2	4	1.78009102625367E-4
16.22	8	3.56018205250733E-4
16.24	15	6.67534134845125E-4
16.26	12	5.340273078761E-4
16.28	13	5.78529583532442E-4
16.3	20	8.90045513126833E-4
16.32	13	5.78529583532442E-4
16.34	13	5.78529583532442E-4
16.36	5	2.22511378281708E-4
16.38	15	6.67534134845125E-4
16.4	10	4.45022756563417E-4
16.42	11	4.89525032219758E-4
16.44	8	3.56018205250733E-4
16.46	14	6.23031859188783E-4
16.48	1	4.45022756563417E-5
16.5	-5	-2.22511378281708E-4
16.52	-2	-8.90045513126833E-5
