Time [µs]	D2 v2J2	D2 v2J2	
	150k shots	150k shots	
Laser Power [mJ]		power corrected	
12.64	9	2.42497903472343E-4
12.66	10	2.6944211496927E-4
12.68	18	4.84995806944685E-4
12.7	6	1.61665268981562E-4
12.72	19	5.11940018441612E-4
12.74	6	1.61665268981562E-4
12.76	16	4.31107383950831E-4
12.78	6	1.61665268981562E-4
12.8	17	4.58051595447758E-4
12.82	20	5.38884229938539E-4
12.84	31	8.35270556404736E-4
12.86	37	9.96935825386298E-4
12.88	11	2.96386326466197E-4
12.9	3	8.08326344907809E-5
12.92	16	4.31107383950831E-4
12.94	9	2.42497903472343E-4
12.96	17	4.58051595447758E-4
12.98	15	4.04163172453904E-4
13	23	6.1971686442932E-4
13.02	16	4.31107383950831E-4
13.04	12	3.23330537963124E-4
13.06	20	5.38884229938539E-4
13.08	7	1.88609480478489E-4
13.1	12	3.23330537963124E-4
13.12	3	8.08326344907809E-5
13.14	16	4.31107383950831E-4
13.16	15	4.04163172453904E-4
13.18	13	3.5027474946005E-4
13.2	18	4.84995806944685E-4
13.22	8	2.15553691975416E-4
13.24	7	1.88609480478489E-4
13.26	9	2.42497903472343E-4
13.28	19	5.11940018441612E-4
13.3	17	4.58051595447758E-4
13.32	8	2.15553691975416E-4
13.34	12	3.23330537963124E-4
13.36	17	4.58051595447758E-4
13.38	20	5.38884229938539E-4
13.4	12	3.23330537963124E-4
13.42	6	1.61665268981562E-4
13.44	3	8.08326344907809E-5
13.46	7	1.88609480478489E-4
13.48	0	0
13.5	3	8.08326344907809E-5
13.52	17	4.58051595447758E-4
13.54	2	5.38884229938539E-5
13.56	1	2.6944211496927E-5
13.58	8	2.15553691975416E-4
13.6	17	4.58051595447758E-4
13.62	27	7.27493710417028E-4
13.64	11	2.96386326466197E-4
13.66	15	4.04163172453904E-4
13.68	14	3.77218960956977E-4
13.7	5	1.34721057484635E-4
13.72	13	3.5027474946005E-4
13.74	9	2.42497903472343E-4
13.76	-2	-5.38884229938539E-5
13.78	8	2.15553691975416E-4
13.8	5	1.34721057484635E-4
13.82	10	2.6944211496927E-4
13.84	20	5.38884229938539E-4
13.86	11	2.96386326466197E-4
13.88	7	1.88609480478489E-4
13.9	6	1.61665268981562E-4
13.92	-7	-1.88609480478489E-4
13.94	0	0
13.96	14	3.77218960956977E-4
13.98	11	2.96386326466197E-4
14	12	3.23330537963124E-4
14.02	19	5.11940018441612E-4
14.04	18	4.84995806944685E-4
14.06	6	1.61665268981562E-4
14.08	22	5.92772652932393E-4
14.1	18	4.84995806944685E-4
14.12	7	1.88609480478489E-4
14.14	17	4.58051595447758E-4
14.16	16	4.31107383950831E-4
14.18	6	1.61665268981562E-4
14.2	10	2.6944211496927E-4
14.22	27	7.27493710417028E-4
14.24	-3	-8.08326344907809E-5
14.26	1	2.6944211496927E-5
14.28	13	3.5027474946005E-4
14.3	16	4.31107383950831E-4
14.32	19	5.11940018441612E-4
14.34	14	3.77218960956977E-4
14.36	11	2.96386326466197E-4
14.38	-1	-2.6944211496927E-5
14.4	-4	-1.07776845987708E-4
14.42	10	2.6944211496927E-4
14.44	17	4.58051595447758E-4
14.46	10	2.6944211496927E-4
14.48	16	4.31107383950831E-4
14.5	2	5.38884229938539E-5
14.52	1	2.6944211496927E-5
14.54	2	5.38884229938539E-5
14.56	0	0
14.58	6	1.61665268981562E-4
14.6	10	2.6944211496927E-4
