Time [µs]	D2, v0J12	D2, v0J12
	200k shots	200k shots
Laser Power [mJ]		power corrected
10.2	88	4.6543698268825E-4
10.22	115	6.082415114676E-4
10.24	111	5.8708528498177E-4
10.26	78	4.12546416473676E-4
10.28	88	4.6543698268825E-4
10.3	67	3.54366793637645E-4
10.32	72	3.80812076744932E-4
10.34	107	5.65929058495941E-4
10.36	74	3.91390189987847E-4
10.38	98	5.18327548902824E-4
10.4	87	4.60147926066793E-4
10.42	66	3.49077737016188E-4
10.44	36	1.90406038372466E-4
10.46	36	1.90406038372466E-4
10.48	31	1.63960755265179E-4
10.5	38	2.00984151615381E-4
10.52	83	4.38991699580963E-4
10.54	89	4.70726039309708E-4
10.56	91	4.81304152552622E-4
10.58	98	5.18327548902824E-4
10.6	65	3.4378868039473E-4
10.62	52	2.75030944315784E-4
10.64	68	3.59655850259102E-4
10.66	54	2.85609057558699E-4
10.68	53	2.80320000937242E-4
10.7	52	2.75030944315784E-4
10.72	60	3.17343397287443E-4
10.74	39	2.06273208236838E-4
10.76	36	1.90406038372466E-4
10.78	22	1.16359245672063E-4
10.8	32	1.69249811886636E-4
10.82	11	5.81796228360313E-5
10.84	45	2.38007547965582E-4
10.86	18	9.5203019186233E-5
10.88	24	1.26937358914977E-4
10.9	5	2.64452831072869E-5
10.92	29	1.53382642022264E-4
10.94	40	2.11562264858296E-4
10.96	51	2.69741887694327E-4
10.98	51	2.69741887694327E-4
11	37	1.95695094993923E-4
11.02	58	3.06765284044529E-4
11.04	40	2.11562264858296E-4
11.06	24	1.26937358914977E-4
11.08	52	2.75030944315784E-4
11.1	46	2.4329660458704E-4
11.12	30	1.58671698643722E-4
11.14	-2	-1.05781132429148E-5
11.16	2	1.05781132429148E-5
11.18	36	1.90406038372466E-4
11.2	51	2.69741887694327E-4
11.22	27	1.4280452877935E-4
11.24	19	1.0049207580769E-4
11.26	12	6.34686794574887E-5
11.28	9	4.76015095931165E-5
11.3	19	1.0049207580769E-4
11.32	49	2.59163774451412E-4
11.34	14	7.40467927004034E-5
11.36	27	1.4280452877935E-4
11.38	46	2.4329660458704E-4
11.4	46	2.4329660458704E-4
11.42	26	1.37515472157892E-4
11.44	9	4.76015095931165E-5
11.46	-3	-1.58671698643722E-5
11.48	4	2.11562264858296E-5
11.5	-4	-2.11562264858296E-5
11.52	6	3.17343397287443E-5
11.54	7	3.70233963502017E-5
11.56	-1	-5.28905662145739E-6
11.58	0	0
11.6	-11	-5.81796228360313E-5
11.62	7	3.70233963502017E-5
11.64	16	8.46249059433182E-5
11.66	15	7.93358493218608E-5
11.68	10	5.28905662145739E-5
11.7	30	1.58671698643722E-4
11.72	19	1.0049207580769E-4
11.74	19	1.0049207580769E-4
11.76	30	1.58671698643722E-4
11.78	10	5.28905662145739E-5
11.8	-8	-4.23124529716591E-5
11.82	-6	-3.17343397287443E-5
11.84	8	4.23124529716591E-5
11.86	8	4.23124529716591E-5
11.88	32	1.69249811886636E-4
11.9	34	1.79827925129551E-4
11.92	7	3.70233963502017E-5
11.94	0	0
11.96	13	6.8757736078946E-5
11.98	1	5.28905662145739E-6
12	-5	-2.64452831072869E-5
12.02	-1	-5.28905662145739E-6
12.04	2	1.05781132429148E-5
12.06	-24	-1.26937358914977E-4
12.08	-30	-1.58671698643722E-4
12.1	17	8.99139625647756E-5
12.12	1	5.28905662145739E-6
12.14	23	1.2164830229352E-4
12.16	26	1.37515472157892E-4
12.18	-13	-6.8757736078946E-5
12.2	37	1.95695094993923E-4
12.22	-2	-1.05781132429148E-5
12.24	33	1.74538868508094E-4
12.26	22	1.16359245672063E-4
12.28	2	1.05781132429148E-5
12.3	-13	-6.8757736078946E-5
12.32	10	5.28905662145739E-5
12.34	3	1.58671698643722E-5
12.36	14	7.40467927004034E-5
12.38	-3	-1.58671698643722E-5
12.4	6	3.17343397287443E-5
12.42	2	1.05781132429148E-5
12.44	31	1.63960755265179E-4
12.46	14	7.40467927004034E-5
12.48	-13	-6.8757736078946E-5
12.5	-5	-2.64452831072869E-5
12.52	13	6.8757736078946E-5
12.54	36	1.90406038372466E-4
12.56	16	8.46249059433182E-5
12.58	9	4.76015095931165E-5
12.6	-1	-5.28905662145739E-6
12.62	18	9.5203019186233E-5
12.64	24	1.26937358914977E-4
12.66	-8	-4.23124529716591E-5
12.68	-9	-4.76015095931165E-5
12.7	-12	-6.34686794574887E-5
12.72	-10	-5.28905662145739E-5
12.74	-10	-5.28905662145739E-5
12.76	-11	-5.81796228360313E-5
12.78	17	8.99139625647756E-5
12.8	12	6.34686794574887E-5
12.82	7	3.70233963502017E-5
12.84	21	1.11070189050605E-4
12.86	27	1.4280452877935E-4
12.88	43	2.27429434722668E-4
12.9	13	6.8757736078946E-5
12.92	-4	-2.11562264858296E-5
12.94	-12	-6.34686794574887E-5
