Time [µs]	v1J2	v1J2	
	75k shots	75k shots	
Laser Power [mJ]		power corrected	
12.58	28	4.51653842529458E-4
12.6	27	4.35523348153406E-4
12.62	22	3.54870876273145E-4
12.64	16	2.58087910016833E-4
12.66	6	9.67829662563124E-5
12.68	16	2.58087910016833E-4
12.7	20	3.22609887521041E-4
12.72	13	2.09696426888677E-4
12.74	21	3.38740381897093E-4
12.76	36	5.80697797537875E-4
12.78	24	3.8713186502525E-4
12.8	16	2.58087910016833E-4
12.82	11	1.77435438136573E-4
12.84	18	2.90348898768937E-4
12.86	26	4.19392853777354E-4
12.88	12	1.93565932512625E-4
12.9	6	9.67829662563124E-5
12.92	12	1.93565932512625E-4
12.94	27	4.35523348153406E-4
12.96	31	5.00045325657614E-4
12.98	25	4.03262359401302E-4
13	25	4.03262359401302E-4
13.02	18	2.90348898768937E-4
13.04	37	5.96828291913927E-4
13.06	16	2.58087910016833E-4
13.08	32	5.16175820033666E-4
13.1	34	5.4843680878577E-4
13.12	28	4.51653842529458E-4
13.14	34	5.4843680878577E-4
13.16	23	3.71001370649198E-4
13.18	12	1.93565932512625E-4
13.2	-4	-6.45219775042083E-5
13.22	7	1.12913460632364E-4
13.24	20	3.22609887521041E-4
13.26	5	8.06524718802603E-5
13.28	0	0
13.3	17	2.74218404392885E-4
13.32	5	8.06524718802603E-5
13.34	24	3.8713186502525E-4
13.36	16	2.58087910016833E-4
13.38	18	2.90348898768937E-4
13.4	15	2.41957415640781E-4
13.42	30	4.83914831281562E-4
13.44	37	5.96828291913927E-4
13.46	3	4.83914831281562E-5
13.48	0	0
13.5	11	1.77435438136573E-4
13.52	23	3.71001370649198E-4
13.54	17	2.74218404392885E-4
13.56	-2	-3.22609887521041E-5
13.58	0	0
13.6	13	2.09696426888677E-4
13.62	26	4.19392853777354E-4
13.64	31	5.00045325657614E-4
13.66	12	1.93565932512625E-4
13.68	24	3.8713186502525E-4
13.7	17	2.74218404392885E-4
13.72	11	1.77435438136573E-4
13.74	10	1.61304943760521E-4
13.76	13	2.09696426888677E-4
13.78	16	2.58087910016833E-4
13.8	20	3.22609887521041E-4
13.82	17	2.74218404392885E-4
13.84	32	5.16175820033666E-4
13.86	-18	-2.90348898768937E-4
13.88	-2	-3.22609887521041E-5
13.9	17	2.74218404392885E-4
13.92	30	4.83914831281562E-4
13.94	10	1.61304943760521E-4
13.96	28	4.51653842529458E-4
13.98	16	2.58087910016833E-4
14	23	3.71001370649198E-4
14.02	28	4.51653842529458E-4
14.04	18	2.90348898768937E-4
14.06	26	4.19392853777354E-4
14.08	20	3.22609887521041E-4
14.1	31	5.00045325657614E-4
14.12	-6	-9.67829662563124E-5
14.14	19	3.06479393144989E-4
14.16	6	9.67829662563124E-5
14.18	-9	-1.45174449384469E-4
14.2	2	3.22609887521041E-5
14.22	-10	-1.61304943760521E-4
14.24	8	1.29043955008417E-4
14.26	7	1.12913460632364E-4
14.28	7	1.12913460632364E-4
14.3	15	2.41957415640781E-4
14.32	14	2.25826921264729E-4
14.34	21	3.38740381897093E-4
14.36	13	2.09696426888677E-4
14.38	5	8.06524718802603E-5
14.4	2	3.22609887521041E-5
