Time [µs]	H2 v1J3	H2 v1J3
	50k shots	50k shots
Laser Power [mJ]		power corrected
12.24	4	3.43473365183263E-4
12.26	8	6.86946730366526E-4
12.28	11	9.44551754253973E-4
12.3	3	2.57605023887447E-4
12.32	0	0
12.34	3	2.57605023887447E-4
12.36	16	0.00137389346073305
12.38	18	0.00154563014332468
12.4	15	0.00128802511943724
12.42	5	4.29341706479079E-4
12.44	-2	-1.71736682591631E-4
12.46	6	5.15210047774894E-4
12.48	5	4.29341706479079E-4
12.5	3	2.57605023887447E-4
12.52	3	2.57605023887447E-4
12.54	4	3.43473365183263E-4
12.56	6	5.15210047774894E-4
12.58	5	4.29341706479079E-4
12.6	4	3.43473365183263E-4
12.62	4	3.43473365183263E-4
12.64	-1	-8.58683412958157E-5
12.66	-3	-2.57605023887447E-4
12.68	2	1.71736682591631E-4
12.7	8	6.86946730366526E-4
12.72	9	7.72815071662341E-4
12.74	5	4.29341706479079E-4
12.76	12	0.00103042009554979
12.78	8	6.86946730366526E-4
12.8	2	1.71736682591631E-4
12.82	7	6.0107838907071E-4
12.84	14	0.00120215677814142
12.86	7	6.0107838907071E-4
12.88	6	5.15210047774894E-4
12.9	2	1.71736682591631E-4
12.92	1	8.58683412958157E-5
12.94	-1	-8.58683412958157E-5
12.96	5	4.29341706479079E-4
12.98	3	2.57605023887447E-4
13	-2	-1.71736682591631E-4
13.02	3	2.57605023887447E-4
13.04	5	4.29341706479079E-4
13.06	6	5.15210047774894E-4
13.08	9	7.72815071662341E-4
13.1	7	6.0107838907071E-4
13.12	2	1.71736682591631E-4
13.14	2	1.71736682591631E-4
13.16	0	0
13.18	4	3.43473365183263E-4
13.2	11	9.44551754253973E-4
13.22	9	7.72815071662341E-4
13.24	5	4.29341706479079E-4
13.26	3	2.57605023887447E-4
13.28	7	6.0107838907071E-4
13.3	6	5.15210047774894E-4
13.32	9	7.72815071662341E-4
13.34	10	8.58683412958157E-4
13.36	11	9.44551754253973E-4
13.38	-3	-2.57605023887447E-4
13.4	1	8.58683412958157E-5
13.42	2	1.71736682591631E-4
13.44	10	8.58683412958157E-4
13.46	11	9.44551754253973E-4
13.48	11	9.44551754253973E-4
13.5	9	7.72815071662341E-4
13.52	5	4.29341706479079E-4
13.54	8	6.86946730366526E-4
13.56	7	6.0107838907071E-4
13.58	13	0.0011162884368456
13.6	16	0.00137389346073305
13.62	6	5.15210047774894E-4
13.64	6	5.15210047774894E-4
13.66	6	5.15210047774894E-4
13.68	3	2.57605023887447E-4
13.7	4	3.43473365183263E-4
13.72	1	8.58683412958157E-5
13.74	7	6.0107838907071E-4
13.76	12	0.00103042009554979
13.78	9	7.72815071662341E-4
13.8	4	3.43473365183263E-4
13.82	1	8.58683412958157E-5
13.84	5	4.29341706479079E-4
13.86	1	8.58683412958157E-5
13.88	1	8.58683412958157E-5
13.9	13	0.0011162884368456
13.92	12	0.00103042009554979
13.94	3	2.57605023887447E-4
13.96	1	8.58683412958157E-5
13.98	3	2.57605023887447E-4
14	2	1.71736682591631E-4
14.02	-1	-8.58683412958157E-5
14.04	-1	-8.58683412958157E-5
14.06	5	4.29341706479079E-4
14.08	4	3.43473365183263E-4
14.1	2	1.71736682591631E-4
14.12	4	3.43473365183263E-4
14.14	5	4.29341706479079E-4
14.16	2	1.71736682591631E-4
14.18	6	5.15210047774894E-4
14.2	6	5.15210047774894E-4
14.22	14	0.00120215677814142
14.24	8	6.86946730366526E-4
14.26	2	1.71736682591631E-4
14.28	5	4.29341706479079E-4
14.3	6	5.15210047774894E-4
14.32	6	5.15210047774894E-4
14.34	4	3.43473365183263E-4
14.36	3	2.57605023887447E-4
14.38	5	4.29341706479079E-4
14.4	6	5.15210047774894E-4
14.42	7	6.0107838907071E-4
14.44	4	3.43473365183263E-4
14.46	3	2.57605023887447E-4
14.48	-6	-5.15210047774894E-4
14.5	6	5.15210047774894E-4
14.52	6	5.15210047774894E-4
14.54	4	3.43473365183263E-4
14.56	5	4.29341706479079E-4
14.58	9	7.72815071662341E-4
14.6	5	4.29341706479079E-4
14.62	5	4.29341706479079E-4
14.64	7	6.0107838907071E-4
14.66	4	3.43473365183263E-4
14.68	5	4.29341706479079E-4
14.7	8	6.86946730366526E-4
14.72	0	0
14.74	2	1.71736682591631E-4
14.76	12	0.00103042009554979
14.78	2	1.71736682591631E-4
14.8	-1	-8.58683412958157E-5
14.82	14	0.00120215677814142
14.84	19	0.0016314984846205
14.86	7	6.0107838907071E-4
14.88	8	6.86946730366526E-4
14.9	4	3.43473365183263E-4
14.92	4	3.43473365183263E-4
14.94	3	2.57605023887447E-4
14.96	0	0
14.98	3	2.57605023887447E-4
15	3	2.57605023887447E-4
15.02	2	1.71736682591631E-4
15.04	6	5.15210047774894E-4
15.06	8	6.86946730366526E-4
15.08	3	2.57605023887447E-4
15.1	0	0
15.12	-2	-1.71736682591631E-4
15.14	2	1.71736682591631E-4
15.16	13	0.0011162884368456
15.18	11	9.44551754253973E-4
15.2	3	2.57605023887447E-4
