Time [µs]	D2, v0J6	D2, v0J6
	100k shots	counts per shot
Laser Power [mJ]		power corrected
11.98	3	4.28091199452283E-5
12	26	3.71012372858645E-4
12.02	12	1.71236479780913E-4
12.04	26	3.71012372858645E-4
12.06	-6	-8.56182398904566E-5
12.08	1	1.42697066484094E-5
12.1	35	4.9943973269433E-4
12.12	52	7.42024745717291E-4
12.14	39	5.56518559287968E-4
12.16	12	1.71236479780913E-4
12.18	10	1.42697066484094E-4
12.2	24	3.42472959561827E-4
12.22	16	2.28315306374551E-4
12.24	27	3.85282079507055E-4
12.26	12	1.71236479780913E-4
12.28	33	4.70900319397511E-4
12.3	7	9.98879465388661E-5
12.32	17	2.4258501302296E-4
12.34	-9	-1.28427359835685E-4
12.36	-1	-1.42697066484094E-5
12.38	9	1.28427359835685E-4
12.4	3	4.28091199452283E-5
12.42	12	1.71236479780913E-4
12.44	-1	-1.42697066484094E-5
12.46	20	2.85394132968189E-4
12.48	-5	-7.13485332420472E-5
12.5	-2	-2.85394132968189E-5
12.52	14	1.99775893077732E-4
12.54	37	5.27979145991149E-4
12.56	26	3.71012372858645E-4
12.58	1	1.42697066484094E-5
12.6	24	3.42472959561827E-4
12.62	-11	-1.56966773132504E-4
12.64	-2	-2.85394132968189E-5
12.66	15	2.14045599726142E-4
12.68	12	1.71236479780913E-4
12.7	-11	-1.56966773132504E-4
12.72	8	1.14157653187276E-4
12.74	16	2.28315306374551E-4
12.76	17	2.4258501302296E-4
12.78	-9	-1.28427359835685E-4
12.8	22	3.13933546265008E-4
12.82	25	3.56742666210236E-4
12.84	17	2.4258501302296E-4
12.86	11	1.56966773132504E-4
12.88	11	1.56966773132504E-4
12.9	18	2.5685471967137E-4
12.92	3	4.28091199452283E-5
12.94	8	1.14157653187276E-4
12.96	33	4.70900319397511E-4
12.98	32	4.56630612749102E-4
13	0	0
13.02	32	4.56630612749102E-4
13.04	19	2.71124426319779E-4
13.06	43	6.13597385881606E-4
13.08	-6	-8.56182398904566E-5
13.1	21	2.99663839616598E-4
13.12	29	4.13821492803874E-4
13.14	32	4.56630612749102E-4
13.16	21	2.99663839616598E-4
13.18	24	3.42472959561827E-4
13.2	37	5.27979145991149E-4
13.22	35	4.9943973269433E-4
13.24	22	3.13933546265008E-4
13.26	21	2.99663839616598E-4
13.28	11	1.56966773132504E-4
13.3	27	3.85282079507055E-4
13.32	14	1.99775893077732E-4
13.34	16	2.28315306374551E-4
13.36	-3	-4.28091199452283E-5
13.38	-11	-1.56966773132504E-4
13.4	7	9.98879465388661E-5
13.42	29	4.13821492803874E-4
13.44	25	3.56742666210236E-4
13.46	12	1.71236479780913E-4
13.48	1	1.42697066484094E-5
13.5	29	4.13821492803874E-4
13.52	17	2.4258501302296E-4
13.54	16	2.28315306374551E-4
13.56	28	3.99551786155464E-4
13.58	13	1.85506186429323E-4
13.6	13	1.85506186429323E-4
13.62	-19	-2.71124426319779E-4
13.64	-1	-1.42697066484094E-5
13.66	25	3.56742666210236E-4
13.68	24	3.42472959561827E-4
13.7	2	2.85394132968189E-5
13.72	38	5.42248852639559E-4
13.74	12	1.71236479780913E-4
13.76	38	5.42248852639559E-4
13.78	29	4.13821492803874E-4
13.8	16	2.28315306374551E-4
13.82	12	1.71236479780913E-4
13.84	2	2.85394132968189E-5
13.86	-5	-7.13485332420472E-5
13.88	14	1.99775893077732E-4
13.9	39	5.56518559287968E-4
13.92	37	5.27979145991149E-4
13.94	19	2.71124426319779E-4
13.96	10	1.42697066484094E-4
13.98	9	1.28427359835685E-4
14	-1	-1.42697066484094E-5
14.02	16	2.28315306374551E-4
14.04	20	2.85394132968189E-4
14.06	34	4.85170026045921E-4
14.08	-4	-5.70788265936378E-5
14.1	26	3.71012372858645E-4
14.12	9	1.28427359835685E-4
14.14	-9	-1.28427359835685E-4
14.16	22	3.13933546265008E-4
14.18	44	6.27867092530015E-4
14.2	24	3.42472959561827E-4
14.22	8	1.14157653187276E-4
14.24	-14	-1.99775893077732E-4
14.26	-28	-3.99551786155464E-4
14.28	-7	-9.98879465388661E-5
14.3	-11	-1.56966773132504E-4
14.32	5	7.13485332420472E-5
14.34	9	1.28427359835685E-4
14.36	21	2.99663839616598E-4
14.38	-1	-1.42697066484094E-5
14.4	35	4.9943973269433E-4
14.42	30	4.28091199452283E-4
14.44	5	7.13485332420472E-5
14.46	16	2.28315306374551E-4
14.48	26	3.71012372858645E-4
14.5	14	1.99775893077732E-4
14.52	19	2.71124426319779E-4
14.54	26	3.71012372858645E-4
14.56	26	3.71012372858645E-4
14.58	-5	-7.13485332420472E-5
14.6	1	1.42697066484094E-5
14.62	3	4.28091199452283E-5
14.64	-6	-8.56182398904566E-5
14.66	6	8.56182398904566E-5
14.68	4	5.70788265936378E-5
14.7	-13	-1.85506186429323E-4
14.72	17	2.4258501302296E-4
14.74	39	5.56518559287968E-4
14.76	17	2.4258501302296E-4
14.78	-16	-2.28315306374551E-4
14.8	6	8.56182398904566E-5
14.82	23	3.28203252913417E-4
14.84	7	9.98879465388661E-5
14.86	9	1.28427359835685E-4
14.88	17	2.4258501302296E-4
14.9	18	2.5685471967137E-4
14.92	24	3.42472959561827E-4
14.94	6	8.56182398904566E-5
14.96	8	1.14157653187276E-4
14.98	21	2.99663839616598E-4
15	18	2.5685471967137E-4
15.02	21	2.99663839616598E-4
15.04	33	4.70900319397511E-4
15.06	26	3.71012372858645E-4
15.08	27	3.85282079507055E-4
15.1	34	4.85170026045921E-4
15.12	32	4.56630612749102E-4
15.14	21	2.99663839616598E-4
15.16	23	3.28203252913417E-4
15.18	11	1.56966773132504E-4
15.2	18	2.5685471967137E-4
15.22	18	2.5685471967137E-4
15.24	13	1.85506186429323E-4
15.26	14	1.99775893077732E-4
15.28	19	2.71124426319779E-4
15.3	21	2.99663839616598E-4
15.32	9	1.28427359835685E-4
15.34	7	9.98879465388661E-5
15.36	-11	-1.56966773132504E-4
15.38	0	0
15.4	20	2.85394132968189E-4
15.42	16	2.28315306374551E-4
15.44	8	1.14157653187276E-4
15.46	4	5.70788265936378E-5
15.48	31	4.42360906100693E-4
15.5	30	4.28091199452283E-4
15.52	23	3.28203252913417E-4
15.54	4	5.70788265936378E-5
15.56	28	3.99551786155464E-4
15.58	36	5.1370943934274E-4
15.6	-5	-7.13485332420472E-5
15.62	7	9.98879465388661E-5
15.64	9	1.28427359835685E-4
15.66	17	2.4258501302296E-4
15.68	3	4.28091199452283E-5
15.7	19	2.71124426319779E-4
15.72	18	2.5685471967137E-4
15.74	11	1.56966773132504E-4
15.76	43	6.13597385881606E-4
15.78	19	2.71124426319779E-4
15.8	22	3.13933546265008E-4
15.82	21	2.99663839616598E-4
15.84	19	2.71124426319779E-4
15.86	1	1.42697066484094E-5
15.88	-3	-4.28091199452283E-5
15.9	31	4.42360906100693E-4
15.92	12	1.71236479780913E-4
15.94	8	1.14157653187276E-4
15.96	15	2.14045599726142E-4
15.98	9	1.28427359835685E-4
16	43	6.13597385881606E-4
16.02	23	3.28203252913417E-4
16.04	26	3.71012372858645E-4
16.06	8	1.14157653187276E-4
16.08	22	3.13933546265008E-4
16.1	28	3.99551786155464E-4
16.12	35	4.9943973269433E-4
16.14	13	1.85506186429323E-4
16.16	22	3.13933546265008E-4
16.18	-11	-1.56966773132504E-4
16.2	0	0
16.22	25	3.56742666210236E-4
16.24	16	2.28315306374551E-4
16.26	13	1.85506186429323E-4
16.28	27	3.85282079507055E-4
16.3	9	1.28427359835685E-4
16.32	16	2.28315306374551E-4
16.34	31	4.42360906100693E-4
16.36	21	2.99663839616598E-4
16.38	36	5.1370943934274E-4
16.4	40	5.70788265936378E-4
16.42	37	5.27979145991149E-4
16.44	7	9.98879465388661E-5
16.46	-9	-1.28427359835685E-4
16.48	24	3.42472959561827E-4
16.5	47	6.70676212475244E-4
16.52	23	3.28203252913417E-4
16.54	23	3.28203252913417E-4
16.56	39	5.56518559287968E-4
16.58	31	4.42360906100693E-4
16.6	8	1.14157653187276E-4
16.62	4	5.70788265936378E-5
16.64	14	1.99775893077732E-4
16.66	17	2.4258501302296E-4
16.68	24	3.42472959561827E-4
16.7	28	3.99551786155464E-4
16.72	43	6.13597385881606E-4
