Time [µs]	D2, v0J5, 04.12.	D2, v0J5, 04.12.
	150k shots	counts per shot
Laser Power [mJ]		power corrected
14.6	27	2.63459183986562E-4
14.62	38	3.70794407092199E-4
14.64	22	2.14670446211273E-4
14.66	-18	-1.75639455991041E-4
14.68	-11	-1.07335223105636E-4
14.7	-6	-5.85464853303471E-5
14.72	12	1.17092970660694E-4
14.74	14	1.3660846577081E-4
14.76	-8	-7.80619804404628E-5
14.78	16	1.56123960880926E-4
14.8	13	1.26850718215752E-4
14.82	21	2.04912698656215E-4
14.84	22	2.14670446211273E-4
14.86	9	8.78197279955207E-5
14.88	23	2.24428193766331E-4
14.9	3	2.92732426651736E-5
14.92	-43	-4.19583144867488E-4
14.94	7	6.8304232885405E-5
14.96	-16	-1.56123960880926E-4
14.98	-33	-3.22005669316909E-4
15	-15	-1.46366213325868E-4
15.02	21	2.04912698656215E-4
15.04	22	2.14670446211273E-4
15.06	38	3.70794407092199E-4
15.08	17	1.65881708435984E-4
15.1	-3	-2.92732426651736E-5
15.12	7	6.8304232885405E-5
15.14	-15	-1.46366213325868E-4
15.16	10	9.75774755505786E-5
15.18	27	2.63459183986562E-4
15.2	-3	-2.92732426651736E-5
15.22	-7	-6.8304232885405E-5
15.24	-32	-3.12247921761851E-4
15.26	-8	-7.80619804404628E-5
15.28	-6	-5.85464853303471E-5
15.3	-1	-9.75774755505785E-6
15.32	14	1.3660846577081E-4
15.34	10	9.75774755505786E-5
15.36	-6	-5.85464853303471E-5
15.38	10	9.75774755505786E-5
15.4	41	4.00067649757372E-4
15.42	18	1.75639455991041E-4
15.44	26	2.53701436431504E-4
15.46	30	2.92732426651736E-4
15.48	12	1.17092970660694E-4
15.5	22	2.14670446211273E-4
15.52	1	9.75774755505785E-6
15.54	20	1.95154951101157E-4
15.56	25	2.43943688876446E-4
15.58	22	2.14670446211273E-4
15.6	16	1.56123960880926E-4
15.62	-8	-7.80619804404628E-5
15.64	6	5.85464853303471E-5
15.66	22	2.14670446211273E-4
15.68	-9	-8.78197279955207E-5
15.7	4	3.90309902202314E-5
15.72	8	7.80619804404628E-5
15.74	1	9.75774755505785E-6
15.76	28	2.7321693154162E-4
15.78	22	2.14670446211273E-4
15.8	19	1.85397203546099E-4
15.82	24	2.34185941321389E-4
15.84	20	1.95154951101157E-4
15.86	-3	-2.92732426651736E-5
15.88	-5	-4.87887377752893E-5
15.9	18	1.75639455991041E-4
15.92	-3	-2.92732426651736E-5
15.94	-18	-1.75639455991041E-4
15.96	-8	-7.80619804404628E-5
15.98	1	9.75774755505785E-6
16	-11	-1.07335223105636E-4
16.02	50	4.87887377752893E-4
16.04	29	2.82974679096678E-4
16.06	-6	-5.85464853303471E-5
16.08	-8	-7.80619804404628E-5
16.1	25	2.43943688876446E-4
16.12	29	2.82974679096678E-4
16.14	65	6.34253591078761E-4
16.16	40	3.90309902202314E-4
16.18	13	1.26850718215752E-4
16.2	5	4.87887377752893E-5
16.22	30	2.92732426651736E-4
16.24	39	3.80552154647256E-4
16.26	17	1.65881708435984E-4
16.28	30	2.92732426651736E-4
16.3	3	2.92732426651736E-5
16.32	17	1.65881708435984E-4
16.34	40	3.90309902202314E-4
16.36	17	1.65881708435984E-4
16.38	22	2.14670446211273E-4
16.4	10	9.75774755505786E-5
16.42	25	2.43943688876446E-4
16.44	21	2.04912698656215E-4
16.46	17	1.65881708435984E-4
16.48	40	3.90309902202314E-4
16.5	10	9.75774755505786E-5
16.52	13	1.26850718215752E-4
16.54	51	4.97645125307951E-4
16.56	9	8.78197279955207E-5
16.58	29	2.82974679096678E-4
16.6	22	2.14670446211273E-4
16.62	31	3.02490174206794E-4
16.64	40	3.90309902202314E-4
16.66	-6	-5.85464853303471E-5
